post_id,title,category,score,num_comments,author,collected_at
47697870,LittleSnitch for Linux,other,732,227,pluc,2026-04-09 15:29:35
47699181,Open Source Security at Astral,other,182,36,vinhnx,2026-04-09 15:29:37
47691730,I ported Mac OS X to the Nintendo Wii,other,1584,277,blkhp19,2026-04-09 15:29:39
47658950,Haunted Paper Toys,other,87,3,exvi,2026-04-09 15:29:41
47660434,C# in Unity 2026: Features Most Developers Still Don't Use,other,16,3,hacker_13,2026-04-09 15:29:42
47701100,Creating the Futurescape for the Fifth Element [2019],other,15,3,nixass,2026-04-09 15:29:45
47700388,Help Keep Thunderbird Alive,other,29,15,playfultones,2026-04-09 15:29:46
47701233,Claude mixes up who said what and that's not OK,technology,3,0,sixhobbits,2026-04-09 15:29:50
47699814,Process Manager for Autonomous AI Agents,technology,36,9,ankitg12,2026-04-09 15:29:52
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,301,38,WerWolv,2026-04-09 15:29:54
47645010,Dr. Dobb's Developer Library DVD 6,other,38,11,kristianp,2026-04-09 15:29:57
47693153,Understanding the Kalman filter with a simple radar example,other,343,45,alex_be,2026-04-09 15:29:59
47666639,The Importance of Being Idle,other,181,105,Caiero,2026-04-09 15:30:02
47688678,They're made out of meat (1991),other,542,150,surprisetalk,2026-04-09 15:30:04
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,3,0,kisamoto,2026-04-09 15:30:07
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,other,490,560,jfirebaugh,2026-04-09 15:30:09
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",other,10,0,laluser,2026-04-09 15:30:12
47689648,ML promises to be profoundly weird,other,503,491,pabs3,2026-04-09 15:30:15
47678690,Six (and a half) intuitions for KL divergence,other,81,11,jxmorris12,2026-04-09 15:30:17
47687273,Git commands I run before reading any code,technology,2050,440,grepsedawk,2026-04-09 15:30:19
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,341,329,chabons,2026-04-09 15:30:21
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,297,54,chrsw,2026-04-09 15:30:24
47648538,I imported the full Linux kernel git history into pgit,other,129,20,ImGajeed76,2026-04-09 15:30:27
47694983,Expanding Swift's IDE Support,other,116,55,frizlab,2026-04-09 15:30:29
47643852,Map Gesture Controls - Control maps with your hands,other,28,5,hebelehubele,2026-04-09 15:30:31
47656730,Understanding Traceroute,other,129,22,stonecharioteer,2026-04-09 15:30:33
47654062,Ask HN: Any interesting niche hobbies?,other,367,545,e-topy,2026-04-09 15:30:36
